Locus_Tag,A_1,A_2,CO_1,CO_2,CO_3,H2_1,H2_2,H2_3,S_1,S_2,S_3
BFJEKD_05680,50.85443602,62.37491859,80.47062583,125.1243504,62.04868064,75.12921225,116.3117669,69.67127698,252.5154243,57.83555467,72.5292991
BFJEKD_05685,84.6470681,130.1667751,101.5029205,129.5350417,74.54155056,81.58258961,150.1725454,81.85867237,230.3961683,45.63787197,58.48754805
BFJEKD_05690,14.92491099,14.38596122,16.98641945,36.08327995,16.10180241,26.96118582,27.50764131,35.99682644,18.91363624,20.35552399,52.31338002
BFJEKD_05695,18.27771579,11.53301237,12.51961101,35.00202787,11.68122935,19.83175436,16.49738872,21.59150304,20.07173886,17.23944418,41.39263682
BFJEKD_05700,10.2682665,4.673210796,8.218662255,26.17125084,10.42761058,16.97327994,12.66072531,13.0066658,13.99900878,13.18870182,26.60812591
BFJEKD_05705,13.68495597,7.425441164,7.332969949,31.785903,10.96257619,29.12431342,19.89661776,9.642007082,13.26425775,12.0977445,20.87957356
BFJEKD_05710,21.36141881,3.919924919,6.360713334,30.95504859,12.13968961,27.17591267,31.24061296,7.245311164,12.39934255,14.51559655,23.75038955
BFJEKD_05715,59.85730146,11.12876245,13.34879234,56.80282316,24.01624766,40.56895413,57.52182002,16.27382659,28.07213203,22.67270273,33.30875165
BFJEKD_05720,51.89503811,10.24082928,7.989788116,38.12695389,13.05995452,10.42838319,21.08062231,8.205963474,22.53666583,14.3050707,9.04924826
BFJEKD_05725,464.0023479,819.1880235,1316.585648,1207.198342,1271.884669,904.3293012,1005.97089,1250.43475,2301.434314,989.5967829,927.705753
BFJEKD_05730,74.97555136,398.9004291,261.0685379,237.8225031,150.9417195,173.293305,174.1484989,155.9799227,604.2942776,174.5835995,210.8917289
BFJEKD_05735,82.7633502,130.5600908,63.11377766,50.17199922,72.09828949,55.31026155,54.55434484,47.54045159,40.64331106,152.8595282,208.9711352
BFJEKD_05740,123.2692803,270.056436,168.3798322,166.7078356,194.063886,149.6745907,162.187949,132.0662788,219.1510413,227.7567208,215.9114527
BFJEKD_05745,13.65248931,31.78591223,37.120697,23.03539931,42.80542154,38.14511847,24.92830227,19.97801113,15.26195962,53.80776114,48.4889303
BFJEKD_05750,8.583575568,19.56581204,25.65826265,29.97166627,36.12833793,56.38109613,54.84389544,26.6004423,26.00376381,33.80704364,28.29758098
BFJEKD_05755,11.6587369,15.81656308,35.69258466,35.13057726,54.81559344,60.71318982,38.14245018,21.36797917,33.06337805,55.32742404,25.5656113
BFJEKD_05760,11.430518,15.38691626,37.08787587,40.60225785,76.02339102,46.60961719,31.80266297,21.61992039,27.96633442,71.33563109,31.11241667
BFJEKD_05765,0.182597682,0,0,0,0,0,0,0,0,0,0
BFJEKD_05770,0,0,0,0,0,0,0,0,0,0,0
BFJEKD_05775,8.431249471,13.60854104,48.05452273,48.08497762,64.63435371,38.53967702,31.50636486,21.51984189,40.41619156,83.56568004,35.03356218
BFJEKD_05780,22.12601736,62.58228274,168.1957841,138.9252206,233.6756952,242.7765003,180.3643098,138.6814515,178.294643,195.2975941,97.89581587
BFJEKD_05785,8.476023263,19.99699503,63.69310257,58.10268129,88.38676326,50.6083302,37.49173177,38.1899104,57.73853372,90.16813508,39.70222518
BFJEKD_05790,9.419554746,16.46008059,62.18927574,67.63785683,66.36637828,63.60767759,55.11589406,53.84715997,93.55919571,70.40191864,49.92854621
BFJEKD_05795,7.761717012,21.24727702,45.89714979,39.1238963,80.66125397,134.0362797,81.17862121,50.16437114,68.41726224,65.49843957,36.19617809
BFJEKD_05800,2.915699677,5.998300863,9.803983125,10.18313364,20.12770012,21.04811287,10.24416709,7.460023828,11.81041716,17.02971022,7.925875411
BFJEKD_05805,14.56935399,12.54176477,9.200838677,12.96779908,11.89423146,18.47548204,13.72004085,11.36289024,17.02257799,10.99080963,9.64780905
BFJEKD_05810,1112.416379,524.7741438,700.1844475,1030.087076,842.3249584,589.2864154,596.0294998,688.7147916,576.9639256,669.8327144,860.4394218
BFJEKD_05815,1.940638323,4.39108367,9.112931732,6.003876274,8.019330588,2.531018929,2.672785131,3.300574815,3.304899237,10.55603647,6.950408713
BFJEKD_05820,2.812255166,6.839438161,6.351058267,7.298472233,9.490508636,13.74759054,10.16276321,9.159433617,3.865016201,11.27400951,7.483571237
BFJEKD_05825,6.786307535,14.40386085,16.25219368,12.87314361,34.92750508,42.6304641,22.14917748,17.61374522,6.356379899,32.45453733,13.14718386
BFJEKD_05830,5.013596176,9.055606567,7.525008198,7.858763655,13.94799073,24.02476091,19.96381649,7.015606261,4.912815237,11.29606119,8.744133804
BFJEKD_05835,10.57856568,18.26860101,18.53053268,20.95269105,18.39219561,30.67787425,32.14477423,12.93345528,28.88335313,17.34555391,14.81235196
BFJEKD_05840,18.58854953,32.9279496,26.01684377,33.26109242,45.87556729,33.30451858,24.48489911,16.90602398,44.54142194,45.4956254,27.36964425
BFJEKD_05845,9.713597978,10.94632372,15.93591619,13.13797203,24.89442321,21.65456619,11.87944905,9.483941392,28.47266644,32.5866044,16.0691377
BFJEKD_05850,65.79573435,137.6166479,47.09427955,67.00622085,56.84365112,28.74164148,26.60785865,30.16458801,102.0262397,48.05472214,68.56253989
BFJEKD_05855,0.344493882,0.727898707,1.200016626,1.258037205,0.975818731,0.303150674,0.421306042,0.298976964,0.995564082,1.742029275,1.062513933
BFJEKD_05860,1.611959583,4.717929219,12.25366507,12.35100423,14.41027362,16.66547522,11.76256669,13.43308717,9.852076621,16.94878674,9.674152025
BFJEKD_05865,199.466508,398.8103788,160.7062795,103.7388869,249.1654039,1631.774575,750.124441,182.3465613,311.6607889,238.2291308,72.20636645
BFJEKD_05870,11.65922236,58.68683325,26.9392527,35.58921041,28.84106852,59.74594538,35.56054812,36.5381321,20.3987712,23.77512162,44.10322487
BFJEKD_05875,48.268444,124.5166681,60.44561925,122.7266912,49.36494757,128.6508057,107.3406687,82.05158968,74.22669237,48.86346295,116.1340987
BFJEKD_05880,110.6055023,239.4744809,70.42850266,130.9573588,60.86079885,217.7085923,155.1768031,110.9426,113.0707956,64.96022445,116.173914
BFJEKD_05885,38.96035844,120.1359029,62.78314378,84.60853985,44.28586865,166.1703027,169.9841164,88.22173037,59.07075728,43.6564656,72.50177042
BFJEKD_05890,118.9368259,329.3186289,154.3804615,205.1625712,131.6085174,162.451036,198.4213575,185.7264831,109.1024455,80.19339708,152.5151818
BFJEKD_05895,6.940757812,19.21036376,10.36956628,9.473324256,24.49217807,16.74773025,11.77296659,8.030504498,10.27833266,13.75628282,8.283658411
BFJEKD_05900,15.61705597,32.56672733,54.71043542,27.3351294,55.38932987,48.77357514,70.26874103,79.42821338,11.47269085,46.00090313,59.50078026
BFJEKD_05905,5.06343371,10.85054339,5.459688546,9.937562041,6.097074749,13.20928538,8.451070908,5.932130072,10.15190917,8.393789002,11.2736868
BFJEKD_05910,3.708188425,11.39085287,13.50930358,10.62747694,15.46359538,107.8103383,70.31647795,24.73384425,8.375723909,11.06795129,10.71473207
BFJEKD_05915,2.011009133,9.78403699,6.436218205,5.129064279,11.02953971,60.65842891,19.8948373,9.899127271,4.688632749,9.256831984,5.150294811
BFJEKD_05920,2.501531706,9.001204925,4.122697686,5.111199891,13.26296336,23.56879174,8.117344891,6.12949057,4.127562011,11.22223073,4.73211947
BFJEKD_05925,20.90716362,30.58758523,61.56325364,58.07295517,89.93251321,43.73525691,39.7998396,49.21143081,58.43399865,73.25373679,47.82029258
BFJEKD_05930,6.380067763,96.46447782,27.80599075,24.89645699,35.60557635,29.84626064,28.18669274,25.2641661,20.82815653,35.46189302,25.39740831
BFJEKD_05935,3.287943967,45.79774808,24.29794871,19.56704717,41.51906536,14.10766125,18.90753868,19.86837823,8.657159282,45.55652104,29.12818598
BFJEKD_05940,2.203622021,32.09003946,15.73746144,15.48190567,20.70763385,17.1831314,11.97762631,13.44037351,6.94955447,37.53667515,24.35439995
