"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_02140",797,3355,3642,2185,4283,18077,13448,6499,1361,4327,2234
"BFJEKD_02145",238,520,883,930,1074,604,627,462,1183,1195,585
"BFJEKD_02150",73,117,408,551,403,92,142,95,825,442,280
"BFJEKD_02155",1169,3389,1818,1947,2772,4055,3103,1842,2994,2377,1516
"BFJEKD_02160",705,1112,1402,1680,2333,1016,993,644,3489,1790,798
"BFJEKD_02165",873,919,2647,1896,3017,1430,1695,1479,1837,2819,1196
"BFJEKD_02170",1701,1581,4119,2468,5568,2681,3230,3190,3240,4000,1975
"BFJEKD_02175",2507,2776,2585,2955,2362,2456,3674,4124,5098,2432,2447
"BFJEKD_02180",832,1095,768,2322,650,1387,1803,1125,3319,908,1074
"BFJEKD_02185",3404,3180,1858,19427,1624,2653,4953,2211,38056,1869,2739
"BFJEKD_02190",156,465,186,193,134,323,316,280,258,181,211
"BFJEKD_02195",5007,5789,3659,6867,2844,2478,5420,6238,7604,3006,5704
"BFJEKD_02200",10152,5084,5675,14057,5112,2889,4773,7671,10729,4027,13114
"BFJEKD_02205",335,495,122,222,79,357,428,255,476,102,130
"BFJEKD_02210",201,615,250,330,409,906,741,352,806,362,175
"BFJEKD_02215",1159,1354,1469,1900,1072,1379,1914,2285,2861,1516,1747
"BFJEKD_02220",380,1445,435,563,343,519,665,536,682,333,427
"BFJEKD_02225",310,1082,759,962,595,479,650,984,611,450,1187
"BFJEKD_02230",451,1235,925,1007,828,546,508,1226,414,937,2275
"BFJEKD_02235",1099,754,2490,2048,1628,428,564,1523,414,1927,5686
"BFJEKD_02240",1615,530,1609,2102,1196,436,486,1788,415,1967,4521
"BFJEKD_02245",1920,995,2185,2752,1876,1332,1254,4575,565,2200,7951
"BFJEKD_02250",2834,1644,4249,3604,1854,1418,2749,5421,795,2123,10597
"BFJEKD_02255",4898,2196,7877,8591,3832,2421,4080,8997,3951,4033,13901
"BFJEKD_02260",330,370,333,309,331,371,396,563,583,472,328
"BFJEKD_02265",206,155,178,186,155,120,112,449,202,255,259
"BFJEKD_02270",113,84,203,150,193,112,141,412,126,171,252
"BFJEKD_02275",128,217,246,169,151,116,102,298,183,233,183
"BFJEKD_02280",1399,547,3114,2546,1896,495,1148,3393,3773,3102,2709
"BFJEKD_02285",97,294,206,124,197,299,272,213,376,183,135
"BFJEKD_02290",61,115,75,50,100,62,63,55,42,116,74
"BFJEKD_02295",188,406,289,187,455,326,200,377,170,522,298
"BFJEKD_02300",269,631,675,470,695,600,640,895,267,870,632
"BFJEKD_02305",441,778,1525,649,1822,696,680,826,945,1015,610
"BFJEKD_02310",174,391,566,426,581,684,740,570,718,662,382
"BFJEKD_02315",586,594,400,518,158,244,366,530,363,255,794
"BFJEKD_02320",34377,115732,84698,44505,17497,69464,81534,147023,23823,30371,125671
"BFJEKD_02325",4991,57923,15310,7658,7282,103777,76009,162195,6146,5316,45182
"BFJEKD_02330",618,2592,667,923,849,4233,2021,4712,895,743,990
"BFJEKD_02335",6786,5442,703,840,778,3732,1754,4387,793,638,945
"BFJEKD_02340",3325,5376,4006,2742,4036,576,726,1036,2785,4361,2966
"BFJEKD_02345",178,1703,147,99,97,514,437,364,343,107,164
"BFJEKD_02355",18,153,25,24,12,48,35,23,48,17,22
"BFJEKD_02360",192,1153,197,159,237,159,165,199,292,211,116
"BFJEKD_02365",305,1771,310,270,289,1602,967,1369,455,252,293
"BFJEKD_02370",209,472,754,261,170,919,1338,961,184,371,328
"BFJEKD_02375",426,493,2208,945,733,2080,1460,1280,1158,1386,1102
"BFJEKD_02380",196,257,87,80,110,236,146,109,73,181,148
"BFJEKD_02385",276,236,224,238,246,443,463,208,233,278,242
"BFJEKD_02390",122,220,179,202,114,372,419,250,311,205,215
"BFJEKD_02395",49,100,150,159,117,289,282,214,74,200,295
"BFJEKD_02400",574,950,1590,1224,1526,2328,2231,2346,714,1877,2029
