"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_09685",903,702,1083,1489,824,948,1215,1581,1391,940,2598
"BFJEKD_09690",16,103,25,18,12,77,48,38,22,22,24
"BFJEKD_09695",350,522,986,731,1206,1584,1519,919,1265,1065,476
"BFJEKD_09700",142,436,1041,697,1317,1415,1557,935,1349,1051,437
"BFJEKD_09705",218,574,456,392,384,727,747,411,789,512,354
"BFJEKD_09715",115,480,138,140,129,198,154,176,315,130,96
"BFJEKD_09720",194,759,822,680,806,867,1050,1062,406,717,668
"BFJEKD_09725",179,754,761,557,688,703,1090,905,494,450,574
"BFJEKD_09730",1094,6200,5010,3310,3748,3229,4962,6014,3498,3346,2994
"BFJEKD_09735",8709,61171,6724,3928,7211,5776,5420,4090,7731,6539,4940
"BFJEKD_09740",659,1157,2419,1463,3699,1639,1587,1584,880,3343,1366
"BFJEKD_09745",60,127,261,106,235,121,135,171,110,227,99
"BFJEKD_09750",1304,1763,2207,1598,2809,2028,2101,2220,2027,2448,1430
"BFJEKD_09755",1667,820,693,1326,705,514,781,682,1449,910,1295
"BFJEKD_09760",460,394,514,753,539,585,702,559,889,578,682
"BFJEKD_09765",515,604,446,424,397,381,565,494,553,434,318
"BFJEKD_09770",715,753,260,764,267,458,847,448,1073,520,438
"BFJEKD_09775",286,627,105,192,133,356,510,233,139,172,147
"BFJEKD_09780",500,2235,245,221,422,653,511,356,208,365,258
"BFJEKD_09785",1220,3217,1428,1014,2618,4033,2297,1590,1285,1761,1083
"BFJEKD_09790",351,904,759,626,1094,1173,1184,566,698,685,541
"BFJEKD_09795",416,1020,714,846,806,1341,1173,503,2636,976,627
"BFJEKD_09800",446,1722,486,322,504,1049,822,648,274,399,296
"BFJEKD_09805",596,2279,695,443,649,1866,1702,965,507,611,470
"BFJEKD_09810",739,3063,970,789,828,1995,1804,1298,1387,1128,673
"BFJEKD_09815",268,920,1715,725,1228,905,787,1167,1448,1047,432
"BFJEKD_09820",539,1876,2141,2021,2627,2222,1444,1989,2122,3577,1132
"BFJEKD_09825",328,1417,1132,1192,1560,2569,1397,1601,1792,1923,563
"BFJEKD_09830",228,812,967,758,1421,2495,1413,1263,1986,1323,349
"BFJEKD_09835",910,4620,4187,4083,6402,13457,9294,6193,11335,6354,1711
"BFJEKD_09840",309,892,731,569,1287,2189,1633,1020,687,1004,428
"BFJEKD_09845",241,790,713,679,1414,1762,1137,921,898,1105,525
"BFJEKD_09850",619,1065,1445,1612,1970,2153,1927,1322,1507,2421,1381
"BFJEKD_09855",2529,5232,9344,5976,13875,12592,9587,7524,6290,13880,6023
"BFJEKD_09860",190,702,289,244,373,470,337,223,246,522,196
"BFJEKD_09865",177,674,127,126,135,178,170,106,174,169,80
"BFJEKD_09870",5024,8408,284,2325,583,151,229,652,7474,188,535
"BFJEKD_09875",10422,20526,528,5145,1074,344,447,1388,19385,473,1112
"BFJEKD_09880",3476,12306,732,1338,572,401,696,1129,2279,420,739
"BFJEKD_09885",4680,15107,917,1567,958,459,807,1484,2596,431,804
"BFJEKD_09890",3202,17653,788,1077,627,441,451,303,4505,683,572
"BFJEKD_09895",7030,33939,2156,3439,1729,1151,1340,736,15133,1544,1514
"BFJEKD_09900",207,315,195,184,115,133,211,308,227,145,160
"BFJEKD_09905",146,276,191,202,229,571,410,343,374,205,165
"BFJEKD_09910",85,241,179,216,265,337,389,282,482,208,198
"BFJEKD_09915",704,757,207,363,213,214,254,236,854,211,210
"BFJEKD_09920",272,514,811,429,827,394,367,380,376,873,662
"BFJEKD_09925",270,495,833,442,768,305,481,372,301,973,547
"BFJEKD_09930",1421,1306,2431,1652,2955,1479,1702,1806,1969,3007,1408
"BFJEKD_09935",614,1152,1957,1655,2995,3227,2368,1814,1331,2739,1699
"BFJEKD_09940",7343,3622,6058,8745,8175,4236,6671,6010,8197,4562,6621
"BFJEKD_09945",10932,4415,9342,9929,11907,10837,10959,6041,24932,7282,3660
"BFJEKD_09950",174628,152228,419039,306278,206807,142836,211070,293770,153908,212120,242469
"BFJEKD_09955",304,583,1189,765,1141,947,1031,749,1268,1308,695
"BFJEKD_09960",146,373,408,396,288,681,786,415,447,441,297
"BFJEKD_09965",675,933,2204,1754,1256,1288,1653,1779,1222,1325,888
"BFJEKD_09970",713,1181,1521,911,1188,1360,1491,1349,891,1299,832
"BFJEKD_09975",467,1432,753,644,761,2417,2060,1420,370,812,688
"BFJEKD_09980",1083,1448,1213,982,1005,2451,3349,2412,981,976,909
"BFJEKD_09985",130,534,447,231,395,1000,940,803,147,440,379
"BFJEKD_09990",860,2081,2961,1707,2414,4090,5176,3918,1721,1968,1647
"BFJEKD_09995",978,1330,1603,1798,1208,2600,3251,2331,2922,1320,1369
"BFJEKD_10000",3492,2726,4037,4475,2914,3573,7026,5603,9289,2656,3096
"BFJEKD_10005",6424,4512,7384,10070,5108,5760,10771,10240,24682,5292,5350
"BFJEKD_10010",373,531,242,451,181,611,756,529,1068,223,327
"BFJEKD_10015",202,219,233,260,144,273,402,345,407,162,162
"BFJEKD_10020",57,74,70,79,53,128,144,97,97,56,52
"BFJEKD_10025",56,58,58,75,38,190,188,75,91,51,57
"BFJEKD_10030",313,750,645,468,593,745,868,838,684,497,388
"BFJEKD_10035",821,998,3927,3581,4225,2361,3514,4368,3852,3561,2098
"BFJEKD_10040",7963,8838,7146,6139,7716,4153,4989,7911,3928,10749,7728
"BFJEKD_10045",296,396,411,340,346,454,653,490,443,489,457
"BFJEKD_10050",146,96,103,299,130,192,340,133,994,134,121
"BFJEKD_10055",102,73,79,296,82,144,271,116,817,140,103
"BFJEKD_10060",3169,940,12987,7525,17409,1452,2067,2688,4534,14613,6336
"BFJEKD_10065",3251,8019,908,567,710,1884,2280,1428,522,626,622
"BFJEKD_10070",2694,7708,1213,944,1013,1999,2254,1756,1249,918,1089
"BFJEKD_10075",363,948,371,359,270,599,587,489,374,275,303
"BFJEKD_10080",395,651,163,376,175,357,332,318,479,213,211
"BFJEKD_10085",3396,7154,514,1309,607,695,809,865,2387,448,663
"BFJEKD_10090",223,548,514,456,489,375,410,417,486,481,297
"BFJEKD_10095",1641,8641,1277,1080,1375,787,938,783,1604,1514,1745
"BFJEKD_10100",283,1571,324,252,479,693,548,306,408,499,332
"BFJEKD_10105",89,337,157,133,141,159,209,188,169,176,130
"BFJEKD_10110",936,4206,10044,6052,7805,1609,1472,2019,12473,6919,4926
"BFJEKD_10115",194,820,1891,1173,1601,222,310,544,802,1710,895
"BFJEKD_10120",484,2349,6104,3182,4303,558,575,2193,1201,5451,3745
"BFJEKD_10125",1295,3143,4213,3061,3919,8237,6980,7331,3967,4215,3944
"BFJEKD_10130",156,688,390,290,459,1084,721,588,387,493,309
"BFJEKD_10135",97,298,139,166,150,243,253,190,189,196,132
"BFJEKD_10140",386,827,1388,1252,1117,812,770,1337,1131,1682,1744
"BFJEKD_10145",1453,1393,2733,3196,2738,1720,1221,4467,1352,2661,7507
"BFJEKD_10150",3601,3028,3565,4507,3383,6055,3553,6775,1475,2779,10285
"BFJEKD_10155",1927,343,297,377,288,5020,2412,3403,252,469,515
"BFJEKD_10165",3671,6624,2519,1967,1377,4693,5067,5182,4392,2094,2562
"BFJEKD_10170",626,454,730,1086,803,784,856,546,876,452,611
"BFJEKD_10175",1181,1239,1739,2192,2101,1928,2444,1363,2036,875,1112
"BFJEKD_10180",1830,963,850,2792,952,1575,1985,854,4006,543,575
"BFJEKD_10185",666,849,1221,1369,1148,880,1027,1832,973,528,996
"BFJEKD_10190",606,886,619,845,428,900,938,964,522,352,1081
"BFJEKD_10195",793,1212,1645,1393,1394,1656,1930,1430,1228,1541,1741
"BFJEKD_10200",3167,7874,4147,2149,3137,3473,6676,5103,881,3869,2850
"BFJEKD_10205",460,1679,1194,457,1361,1979,2073,1741,132,1734,1145
"BFJEKD_10210",1251,934,1130,2104,1428,1167,782,966,1942,1452,2063
"BFJEKD_10215",407,1006,612,457,1584,551,396,306,583,871,320
"BFJEKD_10220",65,124,94,63,203,33,30,26,41,133,45
"BFJEKD_10225",57,103,37,41,51,7,6,10,22,51,13
"BFJEKD_10230",93,108,44,34,67,72,53,15,22,51,32
"BFJEKD_10235",160,191,108,64,160,214,191,91,40,143,110
"BFJEKD_10240",4755,2526,1413,857,1940,3165,2775,2516,622,2382,1940
"BFJEKD_10245",2797,2212,1364,656,2235,1641,1696,1637,248,2850,1376
"BFJEKD_10250",802,786,398,337,450,358,406,393,240,462,287
"BFJEKD_10255",603,697,522,600,368,614,671,528,871,666,483
"BFJEKD_10260",260,753,625,442,514,521,558,473,437,553,415
"BFJEKD_10265",75,229,763,227,966,281,311,281,212,709,379
"BFJEKD_10270",158,363,2174,912,3382,743,856,785,606,2464,1003
"BFJEKD_10275",1154,3066,12968,3804,19803,3531,3085,2299,4438,11636,3930
"BFJEKD_10280",3276,7765,6924,5887,3868,11432,13809,13533,9634,4151,6033
"BFJEKD_10285",502,1818,4036,3868,3965,2820,3120,4417,6736,3930,2612
"BFJEKD_10290",3747,3878,3169,2345,2761,2787,3408,5965,533,3271,4134
"BFJEKD_10295",4664,2030,1374,4698,3064,1876,2333,3209,8274,1741,2257
"BFJEKD_10300",931,485,452,1272,773,327,374,648,1090,631,982
"BFJEKD_10305",1644,689,1487,2277,1527,757,802,2077,2716,1573,3774
"BFJEKD_10310",2892,1875,3297,2985,3277,1934,2544,4704,5350,2571,3005
"BFJEKD_10315",1829,2782,2092,1799,1480,1715,2117,2091,1895,1463,1717
"BFJEKD_10320",763,1054,853,1039,727,979,1078,1001,1105,854,1024
"BFJEKD_10325",1345,3274,2075,2826,2139,6845,4511,2717,3507,2311,2628
"BFJEKD_10330",2273,3014,5502,3241,3572,7862,10116,5362,2364,3089,3657
"BFJEKD_10335",1390,1975,3047,2930,2328,2370,3594,2582,2995,2376,2427
"BFJEKD_10340",569,1813,660,486,512,3669,3369,1415,210,514,514
"BFJEKD_10345",148,816,200,360,290,1773,674,444,275,378,289
"BFJEKD_10350",52,177,148,69,104,246,165,161,62,126,170
"BFJEKD_10355",178,580,534,321,348,468,493,587,206,363,571
"BFJEKD_10360",2131,3221,1747,2652,971,1127,1334,1887,825,1044,4230
"BFJEKD_10365",602,491,153,287,144,141,272,218,444,173,168
"BFJEKD_10370",282,493,200,246,209,338,432,288,418,232,219
"BFJEKD_10375",16896,18294,16169,18670,19139,26151,27386,26200,23614,19722,18731
"BFJEKD_10380",1034,1183,1676,1890,1449,2004,2718,1582,1241,1738,1739
"BFJEKD_10385",890,1615,2740,2205,2035,3380,3793,3190,1378,2629,3736
"BFJEKD_10390",786,1643,2083,1358,2147,2812,2052,3629,1203,2010,3064
"BFJEKD_10395",2826,1392,1550,1897,1508,1483,1454,2561,2267,1537,1783
"BFJEKD_10400",383,779,1515,883,2264,310,322,996,987,2194,955
"BFJEKD_10405",145,467,833,555,792,153,229,460,317,1151,547
"BFJEKD_10410",245,544,1476,652,856,361,601,940,269,1359,1042
"BFJEKD_10415",673,633,3336,2474,1915,2246,1430,2050,2419,3468,2606
"BFJEKD_10420",2288,2804,2737,9970,4709,13762,8326,3934,16016,6722,3147
"BFJEKD_10425",170,1085,716,353,467,255,259,1007,273,707,558
"BFJEKD_10430",749,2049,1972,852,1400,665,847,1640,516,1388,1635
"BFJEKD_10435",1908,3622,3936,2324,2838,1065,1921,2757,1456,3200,2805
"BFJEKD_10440",4531,3000,580,243,231,184,213,207,472,229,193
"BFJEKD_10445",837,671,2888,433,613,510,455,367,249,523,564
"BFJEKD_10450",575,512,862,925,710,332,635,705,2503,621,497
"BFJEKD_10455",821,903,1027,1741,613,918,1938,1382,2841,970,999
"BFJEKD_10460",105,218,162,167,123,224,217,171,224,144,141
"BFJEKD_10465",609,981,2763,1647,3078,1183,1056,1652,1968,3036,1326
"BFJEKD_10470",280,662,1039,597,1098,727,652,846,843,1098,558
"BFJEKD_10475",264,414,957,601,980,763,847,754,992,811,559
"BFJEKD_10480",105,209,328,265,351,218,266,301,270,406,245
"BFJEKD_10485",282,235,663,586,813,474,552,549,968,1114,482
"BFJEKD_10490",437,466,1040,993,1497,934,1231,953,2004,1435,831
"BFJEKD_10495",341,371,1888,1062,1726,291,477,643,818,2020,947
"BFJEKD_10500",654,2187,1138,1404,937,1724,1968,2563,2744,1074,1006
"BFJEKD_10505",122,452,150,181,161,498,420,408,313,170,164
"BFJEKD_10510",389,663,447,311,283,731,1118,1059,336,345,373
"BFJEKD_10515",9969,5495,5264,11766,3974,6846,13160,7172,37008,3968,4675
"BFJEKD_10520",262,1227,188,291,221,298,445,341,587,259,217
"BFJEKD_10525",501,1788,624,777,604,1273,1193,894,1044,694,716
"BFJEKD_10530",1010,2876,1092,1230,1033,2240,2116,1780,1378,1013,1315
"BFJEKD_10535",1855,1431,7083,6981,5374,5164,9494,6560,8426,4640,8182
"BFJEKD_10540",968,1909,7403,2988,9794,1520,1695,2109,2498,7003,2568
"BFJEKD_10545",498,709,2251,1259,3422,981,822,826,1367,2599,891
"BFJEKD_10550",363,845,1829,1192,2015,2185,1897,1296,2099,1905,930
"BFJEKD_10555",173,512,326,380,338,715,699,541,777,331,257
"BFJEKD_10560",224,663,230,277,240,652,516,475,530,250,260
"BFJEKD_10565",1427,1424,4223,4059,3985,2853,4493,6953,4420,3099,3222
"BFJEKD_10570",10185,7650,2354,3711,3040,1882,1404,2832,1482,3182,6125
"BFJEKD_10575",4027,1998,621,1336,896,727,609,812,478,1103,1790
"BFJEKD_10580",1304,1444,463,654,331,2120,3943,569,316,525,953
"BFJEKD_10585",810,8414,677,647,593,13285,23928,1388,1195,527,472
"BFJEKD_10590",2533,1844,1208,2530,1017,1485,3020,1555,5887,1145,1156
"BFJEKD_10595",8089,3154,1957,3578,1779,861,1244,3138,4762,1418,3237
"BFJEKD_10600",8211,4691,16079,3553,11250,5801,13093,21538,3142,10786,5253
"BFJEKD_10605",21689,6130,3657,9103,3965,2050,2818,3432,9558,4317,6816
"BFJEKD_10610",3296,3079,8978,4541,6217,5278,6407,8120,3578,6391,5222
"BFJEKD_10615",136,336,219,182,379,311,253,165,220,436,136
"BFJEKD_10620",805,1407,1149,822,2160,2706,1800,1245,1873,1766,632
"BFJEKD_10625",223,502,238,264,298,472,568,326,411,385,209
"BFJEKD_10630",4877,2277,2788,2427,4089,3352,4690,2915,3322,3285,1923
"BFJEKD_10635",159,124,89,93,131,255,251,106,71,127,96
"BFJEKD_10640",431,1121,668,619,1968,1455,1023,682,1349,1564,377
"BFJEKD_10645",2663,2887,1805,2354,1592,817,1045,1341,1598,1664,2235
"BFJEKD_10650",467,755,806,686,948,500,522,503,574,969,593
"BFJEKD_10655",349,814,489,918,357,603,472,475,255,369,679
"BFJEKD_10660",162,263,234,338,252,250,273,191,571,273,208
"BFJEKD_10665",68,177,66,89,55,145,139,50,80,48,59
"BFJEKD_10670",7841,1994,418,2166,446,218,392,792,5317,443,826
"BFJEKD_10675",1031,3634,1036,822,932,800,737,654,1390,828,1145
"BFJEKD_10680",210,760,398,315,350,225,219,262,414,457,411
"BFJEKD_10685",326,557,795,584,804,1093,1274,928,265,904,709
"BFJEKD_10690",149,255,427,255,378,749,630,408,212,490,301
"BFJEKD_10695",586,3026,305,295,221,546,543,205,816,455,415
"BFJEKD_10700",406110,83168,2372,11484,5566,40367,37050,5821,14086,10035,4403
"BFJEKD_10705",870317,101864,7624,26851,14513,66234,44135,13841,24665,33331,13389
"BFJEKD_10710",96,189,931,379,837,165,128,340,187,995,759
"BFJEKD_10715",61,145,972,382,871,162,118,327,174,1098,568
"BFJEKD_10720",101,232,1117,654,1629,265,371,446,598,1593,647
"BFJEKD_10725",124,419,1449,854,2863,577,583,755,793,2402,929
"BFJEKD_10730",1362,1575,8669,5025,17863,3219,4336,6155,6722,11961,5905
"BFJEKD_10735",10161,6854,4628,6211,2874,1571,2078,5982,2621,2382,8661
"BFJEKD_10740",763,744,440,578,251,236,304,688,207,272,1320
"BFJEKD_10745",7790,6523,11983,7941,15429,13993,15311,15189,10344,15366,9342
"BFJEKD_10750",16356,11768,31059,17818,25765,13232,19003,25288,18629,28978,21136
"BFJEKD_10755",311,331,236,291,210,344,335,277,298,219,253
"BFJEKD_10760",856,7402,28571,11744,37899,887,1347,1209,89274,22923,5312
"BFJEKD_10765",58,502,875,580,1464,341,238,116,3049,1360,347
"BFJEKD_10770",79,678,1244,606,1640,289,267,214,3204,1288,477
"BFJEKD_10775",170,883,2457,1124,2517,363,493,424,4915,1764,837
"BFJEKD_10780",58,234,649,383,589,98,80,142,1333,657,318
"BFJEKD_10785",92,250,986,380,794,134,229,228,965,675,359
"BFJEKD_10790",27,93,315,91,194,24,40,51,351,160,63
"BFJEKD_10795",57,74,196,101,158,60,69,73,256,164,99
"BFJEKD_10800",52,104,169,102,214,338,252,231,197,262,108
"BFJEKD_10805",96,350,1374,451,1862,1089,992,945,323,1796,580
"BFJEKD_10810",1732,950,1418,3630,1174,1993,2080,2048,3606,994,2926
"BFJEKD_10815",762,584,962,1480,943,962,1257,1344,1754,1134,1190
"BFJEKD_10820",2910,2986,5261,8400,8166,6955,9227,8189,13029,7529,6388
"BFJEKD_10825",757,890,755,1087,1008,1200,1882,1216,1515,1147,1003
"BFJEKD_10830",77661,25854,15794,35488,13029,6278,10198,17723,36853,10831,19375
"BFJEKD_10835",1129,1581,7785,4927,4072,6306,10298,7938,7505,3290,4350
"BFJEKD_10840",868,1090,1380,1220,1771,2331,2144,1824,1505,2044,1330
"BFJEKD_10845",1575,2882,3442,1343,4554,3044,3089,4047,1112,2692,1871
"BFJEKD_10850",785,1392,1463,355,1043,1502,1476,1069,141,1054,1078
"BFJEKD_10855",2425,3288,6315,1484,4388,2049,2936,2605,519,4151,3591
"BFJEKD_10860",4130,4459,10445,2252,7711,2445,3802,3959,675,6579,4776
"BFJEKD_10865",125528,58066,339016,61107,263448,40531,81465,79154,13341,214323,87097
"BFJEKD_10870",63718,14563,216736,36694,169582,25067,51410,46209,8300,127967,53222
"BFJEKD_10875",8564,3004,17399,3695,11492,3886,6048,6421,1021,12528,7503
"BFJEKD_10880",14060,4815,23429,5184,16497,6169,7854,8960,2193,17349,10059
"BFJEKD_10885",41550,13123,143034,24278,102244,42154,54020,51003,4865,97857,56644
"BFJEKD_10890",24133,11167,34554,7308,27287,15847,19016,11175,1216,26968,13096
"BFJEKD_10895",28178,17867,20189,5309,21544,10239,20974,12487,828,19786,9321
"BFJEKD_10900",34258,21825,19473,6607,20071,9696,15831,11855,1639,16119,8161
"BFJEKD_10905",36184,10689,17320,7978,19518,21536,36515,26050,6081,17855,13639
"BFJEKD_10910",1140,2025,2629,474,2125,5165,5695,1741,545,2029,704
"BFJEKD_10915",1477,1611,2135,1011,2396,4250,3645,2015,1159,2526,1242
"BFJEKD_10920",696,913,978,480,1441,1472,1183,933,436,1755,664
"BFJEKD_10925",348,582,491,338,537,317,273,298,851,769,330
"BFJEKD_10930",197,473,253,178,194,130,128,106,301,312,159
"BFJEKD_10935",385,1564,531,278,277,453,436,270,374,352,342
"BFJEKD_10940",462,2382,458,506,337,3776,2464,1799,740,369,470
"BFJEKD_10945",345,587,244,391,212,501,327,304,239,195,355
"BFJEKD_10950",1955,2064,529,1520,559,403,504,234,805,482,809
"BFJEKD_10955",19622,28871,10911,20479,13914,4188,5414,4498,7440,8077,18319
"BFJEKD_10960",7930,10277,1478,4408,2040,911,1548,1074,2615,1496,3054
"BFJEKD_10965",11175,25199,4662,4344,3821,1712,2601,3019,4976,6885,9432
"BFJEKD_10970",2404,1333,4207,2682,3611,736,1251,3965,3064,4331,3022
"BFJEKD_10975",188,403,283,313,220,523,652,265,449,241,234
"BFJEKD_10980",2469,4881,711,1099,827,1577,1377,1044,1250,736,1122
"BFJEKD_10985",308,954,459,287,618,896,819,608,311,401,325
"BFJEKD_10990",96,586,148,137,211,240,194,153,160,154,125
"BFJEKD_10995",2466,1744,1850,3201,1579,1044,1288,1886,1116,1761,4543
"BFJEKD_11000",332,825,400,357,295,308,328,512,279,472,1071
"BFJEKD_11005",437,1042,1940,707,2111,6114,3652,1896,886,1286,991
"BFJEKD_11010",83,153,110,136,228,518,223,176,217,285,102
"BFJEKD_11015",332,347,563,433,810,715,620,440,652,946,396
"BFJEKD_11020",400,475,481,510,573,607,713,636,765,683,544
"BFJEKD_11025",672,573,1315,1406,1267,1066,1719,1751,2420,1173,1002
"BFJEKD_11030",218,187,264,308,228,240,421,290,336,297,334
"BFJEKD_11035",243,366,244,347,224,343,407,285,523,351,287
"BFJEKD_11040",317,368,359,239,421,480,503,289,400,477,237
"BFJEKD_11045",191,793,314,225,398,417,368,254,271,410,229
"BFJEKD_11050",432,4759,412,381,302,767,824,499,303,380,364
"BFJEKD_11055",619,966,641,827,346,644,949,655,721,673,723
"BFJEKD_11060",943,1206,499,765,620,3431,4077,2169,1118,868,490
"BFJEKD_11065",106,215,108,126,65,152,187,88,114,87,143
"BFJEKD_11070",337,586,293,360,257,385,471,494,463,318,344
"BFJEKD_11075",594,870,879,640,713,1384,1115,766,995,867,577
"BFJEKD_11080",324,391,291,254,327,580,617,430,496,353,206
"BFJEKD_11085",2874,6235,5034,3665,3311,9432,10209,9180,7939,2753,4117
"BFJEKD_11090",3753,8316,7196,5875,4353,11915,14141,11366,9039,3944,5794
"BFJEKD_11095",37182,37077,72424,62755,59102,39440,50390,57729,68744,40051,49075
"BFJEKD_11100",404,516,671,906,1321,966,976,897,1216,1080,738
"BFJEKD_11105",502,609,945,1054,1461,1100,1397,1325,1612,866,633
"BFJEKD_11110",1229,1003,1279,1729,1458,1793,2125,3117,1523,1190,1367
"BFJEKD_11115",123,312,546,308,681,658,554,388,407,625,333
"BFJEKD_11120",71,206,274,172,232,366,396,305,146,239,162
"BFJEKD_11125",27,144,82,59,102,164,73,114,124,95,53
"BFJEKD_11130",26,139,119,82,137,177,129,125,92,147,84
"BFJEKD_11135",571,972,1893,1336,1308,1385,2420,2426,1352,1376,1126
"BFJEKD_11140",2115,1625,5707,5095,3780,5580,7259,8149,9271,3369,4518
"BFJEKD_11150",31,82,47,20,11,194,180,41,60,23,23
"BFJEKD_11155",151,438,241,233,133,356,497,301,223,163,267
"BFJEKD_11160",422,875,243,422,193,385,429,401,455,308,361
"BFJEKD_11165",813,3701,789,663,558,1632,1856,1493,593,568,841
"BFJEKD_11170",16,47,20,18,24,37,22,26,31,40,25
"BFJEKD_11175",118,330,270,210,263,383,338,313,384,255,212
"BFJEKD_11180",200,553,222,240,153,955,763,295,351,219,154
"BFJEKD_11185",163,287,171,181,212,169,214,212,404,212,152
"BFJEKD_11190",178,141,111,142,138,89,84,91,185,132,126
"BFJEKD_11195",1772,1056,1135,1619,866,718,1438,1157,2051,1128,1481
"BFJEKD_11200",3843,3679,2406,3719,2000,3203,4459,3845,5076,2578,3370
"BFJEKD_11205",5240,7427,7237,6729,8048,8980,9179,9819,12594,7394,5792
"BFJEKD_11210",1369,1791,2837,2917,3991,2934,3500,3259,4397,3459,2123
"BFJEKD_11215",167,317,312,145,174,227,221,188,266,207,146
"BFJEKD_11220",199,555,41,48,29,68,88,71,88,45,51
"BFJEKD_11225",862,1266,1093,1221,1084,815,1090,1281,1887,1228,1003
"BFJEKD_11230",382,1379,962,926,1138,1223,1214,988,1300,1021,639
"BFJEKD_11235",217,1310,941,712,1314,994,903,715,695,1266,534
"BFJEKD_11240",586,1711,652,1051,602,914,1010,771,1434,571,871
"BFJEKD_11245",303,548,517,645,433,436,618,637,815,428,493
"BFJEKD_11250",232,447,329,424,241,321,413,335,493,295,353
"BFJEKD_11255",207,640,360,417,208,600,647,390,512,273,392
"BFJEKD_11260",108,211,49,72,25,86,63,52,155,16,47
"BFJEKD_11265",1349,1685,3367,4379,2559,3517,5102,6144,8782,3283,3186
"BFJEKD_11270",162,395,502,629,525,1128,1018,983,863,573,405
"BFJEKD_11275",366,881,512,430,440,795,624,583,407,647,395
"BFJEKD_11280",9069,14651,3488,3403,3110,2636,3840,3700,4103,2464,2735
"BFJEKD_11285",64,62,79,120,47,48,133,57,244,41,30
"BFJEKD_11290",378,409,517,827,330,421,902,494,1845,487,440
"BFJEKD_11295",1841,1526,506,1419,515,738,1429,869,3603,954,791
"BFJEKD_11300",2153,6721,8257,5199,10924,8472,7443,5991,5578,8343,2824
"BFJEKD_11305",113,119,128,99,127,215,147,91,174,155,78
"BFJEKD_11310",107,100,62,43,88,212,191,136,70,96,46
"BFJEKD_11315",1002,569,137,103,161,642,490,243,146,165,79
"BFJEKD_11320",24387,5493,3794,6185,5140,3145,3543,2833,19702,3790,3635
"BFJEKD_11325",370,364,676,526,703,546,593,1131,465,471,488
"BFJEKD_11330",2013,1741,1423,1740,1421,915,1324,2233,2720,1310,1202
"BFJEKD_11335",752,1368,2086,1417,2884,3001,2452,2641,1290,3048,1268
"BFJEKD_11340",295,571,787,449,916,1745,1630,1032,377,735,441
"BFJEKD_11345",194,412,745,345,783,1472,1218,745,494,567,361
"BFJEKD_11350",1184,1522,6604,3406,6422,9868,9192,5988,7948,4779,2887
"BFJEKD_11355",2425,1180,6759,5960,5919,6194,9469,6371,8697,5170,4717
"BFJEKD_11360",342,739,385,312,316,417,619,550,722,298,262
"BFJEKD_11365",995,791,2450,3934,1440,1537,3859,2295,9162,1744,1491
"BFJEKD_11370",459,600,1086,2145,986,1951,3718,1345,4683,1119,982
"BFJEKD_11375",513,1689,1302,778,1987,3587,2480,1582,900,1416,625
"BFJEKD_11380",4,25,3,0,0,12,8,4,3,2,3
"BFJEKD_11385",173,933,100,94,82,389,436,242,236,77,55
"BFJEKD_11390",1624,8981,6190,3718,7317,19102,10962,11505,1982,7071,4260
"BFJEKD_11395",912,1207,1545,2073,1199,1445,1622,1557,2010,1554,1733
"BFJEKD_11400",433,1408,1304,912,1325,1438,2221,1495,822,1319,952
"BFJEKD_11405",1377,760,333,791,348,948,912,619,1126,291,504
"BFJEKD_11410",791,497,462,890,433,774,949,644,1210,309,589
"BFJEKD_11415",15624,3910,4356,10810,5023,6159,4777,5763,7558,3470,9056
"BFJEKD_11420",3691,901,1517,3171,1454,1274,1180,1626,905,1191,4330
"BFJEKD_11425",2998,925,1060,2295,1326,777,758,1491,685,1004,3428
"BFJEKD_11430",1175,1076,572,1242,673,231,292,840,355,662,1874
"BFJEKD_11435",2849,2240,376,1181,694,336,357,811,1155,542,1225
"BFJEKD_11440",1798,1490,308,846,479,303,251,585,877,383,907
"BFJEKD_11445",807,868,132,312,169,419,207,303,449,134,241
"BFJEKD_11450",2474,2242,213,747,407,753,644,683,1466,250,301
"BFJEKD_11455",40,257,76,98,43,97,132,117,134,69,145
"BFJEKD_11460",229,735,772,738,473,527,863,1223,428,588,1677
"BFJEKD_11465",7087,7467,7537,10826,5021,4415,6386,11849,5882,7148,15066
"BFJEKD_11470",139,477,283,273,226,389,268,514,327,295,541
"BFJEKD_11475",641,808,570,499,511,927,650,1132,183,499,1800
"BFJEKD_11480",770,929,1115,1044,658,811,1025,929,374,700,2039
"BFJEKD_11485",274,631,620,428,374,503,709,709,405,546,536
"BFJEKD_11490",1642,937,750,1236,661,386,435,712,843,793,1216
"BFJEKD_11495",4816,3016,3373,5234,2799,1637,2182,3594,4233,3049,5968
"BFJEKD_11500",330,536,182,297,156,225,207,183,248,214,302
"BFJEKD_11505",4241,7384,1639,2612,1351,1928,1900,1700,1896,1419,2983
"BFJEKD_11510",1469,1689,3343,2491,3605,4299,5201,3490,4560,2737,1864
"BFJEKD_11515",672,1527,1501,1646,1939,3968,2726,2118,3022,2099,1168
"BFJEKD_11520",621,869,1041,1903,1428,1482,1485,1211,2294,1833,1260
"BFJEKD_11525",572,762,721,1285,1061,846,745,800,1410,1359,1036
